Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year
IVANČNA GORICA,136.0,136.0,144.0,77.0,493.0,DEC,2020
IZOLA,292.0,175.0,197.0,115.0,779.0,DEC,2020
JESENICE,279.0,231.0,196.0,79.0,785.0,DEC,2020
JEZERSKO,4.0,2.0,4.0,2.0,12.0,DEC,2020
JURŠINCI,22.0,29.0,22.0,8.0,81.0,DEC,2020
KAMNIK,305.0,262.0,315.0,146.0,1028.0,DEC,2020
KANAL,58.0,41.0,50.0,41.0,190.0,DEC,2020
KIDRIČEVO,53.0,84.0,84.0,36.0,257.0,DEC,2020
KOBARID,20.0,29.0,17.0,17.0,83.0,DEC,2020
KOBILJE,4.0,9.0,4.0,1.0,18.0,DEC,2020
KOČEVJE,500.0,321.0,192.0,85.0,1098.0,DEC,2020
KOMEN,29.0,22.0,39.0,19.0,109.0,DEC,2020
KOMENDA,42.0,40.0,41.0,29.0,152.0,DEC,2020
KOPER,716.0,564.0,631.0,365.0,2276.0,DEC,2020
KOSTANJEVICA NA KRKI,27.0,35.0,32.0,18.0,112.0,DEC,2020
KOSTEL,7.0,12.0,8.0,4.0,31.0,DEC,2020
KOZJE,56.0,53.0,39.0,25.0,173.0,DEC,2020
KRANJ,782.0,424.0,548.0,348.0,2102.0,DEC,2020
KRANJSKA GORA,23.0,39.0,52.0,34.0,148.0,DEC,2020
KRIŽEVCI,30.0,39.0,40.0,24.0,133.0,DEC,2020
KRŠKO,651.0,396.0,276.0,157.0,1480.0,DEC,2020
KUNGOTA,81.0,73.0,63.0,35.0,252.0,DEC,2020
KUZMA,46.0,15.0,11.0,9.0,81.0,DEC,2020
LAŠKO,163.0,163.0,133.0,76.0,535.0,DEC,2020
LENART,57.0,73.0,64.0,50.0,244.0,DEC,2020
LENDAVA,257.0,196.0,171.0,79.0,703.0,DEC,2020
LITIJA,191.0,139.0,118.0,71.0,519.0,DEC,2020
LJUBLJANA,3976.0,2717.0,3750.0,2789.0,13232.0,DEC,2020
LJUBNO,19.0,24.0,30.0,15.0,88.0,DEC,2020
LJUTOMER,149.0,158.0,122.0,70.0,499.0,DEC,2020
LOG - DRAGOMER,27.0,30.0,38.0,24.0,119.0,DEC,2020
LOGATEC,83.0,112.0,131.0,66.0,392.0,DEC,2020
LOŠKA DOLINA,25.0,26.0,34.0,19.0,104.0,DEC,2020
LOŠKI POTOK,12.0,11.0,11.0,5.0,39.0,DEC,2020
LOVRENC NA POHORJU,26.0,41.0,25.0,13.0,105.0,DEC,2020
LUČE,21.0,18.0,15.0,5.0,59.0,DEC,2020
LUKOVICA,52.0,61.0,45.0,28.0,186.0,DEC,2020
MAJŠPERK,44.0,45.0,55.0,26.0,170.0,DEC,2020
MAKOLE,27.0,30.0,12.0,15.0,84.0,DEC,2020
MARIBOR,1962.0,1623.0,1772.0,1202.0,6559.0,DEC,2020
MARKOVCI,30.0,54.0,48.0,22.0,154.0,DEC,2020
MEDVODE,125.0,126.0,191.0,143.0,585.0,DEC,2020
MENGEŠ,77.0,63.0,84.0,51.0,275.0,DEC,2020
METLIKA,229.0,122.0,87.0,47.0,485.0,DEC,2020
MEŽICA,28.0,38.0,36.0,20.0,122.0,DEC,2020
MIKLAVŽ NA DRAVSKEM POLJU,77.0,98.0,94.0,44.0,313.0,DEC,2020
MIREN-KOSTANJEVICA,43.0,25.0,33.0,27.0,128.0,DEC,2020
MIRNA,16.0,20.0,11.0,9.0,56.0,DEC,2020
MIRNA PEČ,19.0,24.0,14.0,10.0,67.0,DEC,2020
MISLINJA,32.0,48.0,46.0,26.0,152.0,DEC,2020
MOKRONOG-TREBELNO,27.0,25.0,18.0,10.0,80.0,DEC,2020
MORAVČE,34.0,42.0,37.0,21.0,134.0,DEC,2020
MORAVSKE TOPLICE,85.0,68.0,79.0,56.0,288.0,DEC,2020
MOZIRJE,40.0,44.0,48.0,35.0,167.0,DEC,2020
MURSKA SOBOTA,380.0,294.0,281.0,163.0,1118.0,DEC,2020
MUTA,39.0,37.0,30.0,20.0,126.0,DEC,2020
NAKLO,45.0,37.0,47.0,24.0,153.0,DEC,2020
NAZARJE,24.0,23.0,18.0,20.0,85.0,DEC,2020
NOVA GORICA,369.0,229.0,272.0,225.0,1095.0,DEC,2020
NOVO MESTO,571.0,220.0,273.0,208.0,1272.0,DEC,2020
ODRANCI,32.0,18.0,27.0,7.0,84.0,DEC,2020
OPLOTNICA,37.0,42.0,35.0,19.0,133.0,DEC,2020
ORMOŽ,136.0,195.0,145.0,62.0,538.0,DEC,2020
OSILNICA,6.0,5.0,4.0,1.0,16.0,DEC,2020
PESNICA,84.0,103.0,104.0,34.0,325.0,DEC,2020
PIRAN,269.0,256.0,287.0,162.0,974.0,DEC,2020
PIVKA,69.0,44.0,55.0,35.0,203.0,DEC,2020
PODČETRTEK,49.0,44.0,41.0,24.0,158.0,DEC,2020
PODLEHNIK,33.0,33.0,24.0,6.0,96.0,DEC,2020
PODVELKA,29.0,35.0,31.0,12.0,107.0,DEC,2020
POLJČANE,47.0,50.0,67.0,22.0,186.0,DEC,2020
POLZELA,73.0,46.0,77.0,39.0,235.0,DEC,2020
POSTOJNA,245.0,166.0,175.0,98.0,684.0,DEC,2020
PREBOLD,56.0,49.0,59.0,37.0,201.0,DEC,2020
PREDDVOR,24.0,27.0,34.0,26.0,111.0,DEC,2020
PREVALJE,57.0,74.0,66.0,32.0,229.0,DEC,2020
PTUJ,242.0,273.0,379.0,198.0,1092.0,DEC,2020
PUCONCI,154.0,82.0,54.0,38.0,328.0,DEC,2020
RAČE-FRAM,79.0,94.0,91.0,48.0,312.0,DEC,2020
RADEČE,40.0,39.0,51.0,23.0,153.0,DEC,2020
RADENCI,52.0,67.0,59.0,29.0,207.0,DEC,2020
RADLJE OB DRAVI,61.0,100.0,74.0,36.0,271.0,DEC,2020
RADOVLJICA,152.0,153.0,208.0,111.0,624.0,DEC,2020
RAVNE NA KOROŠKEM,77.0,125.0,137.0,60.0,399.0,DEC,2020
RAZKRIŽJE,16.0,16.0,12.0,4.0,48.0,DEC,2020
REČICA OB SAVINJI,17.0,17.0,27.0,9.0,70.0,DEC,2020
RENČE-VOGRSKO,47.0,24.0,32.0,23.0,126.0,DEC,2020
RIBNICA,99.0,74.0,70.0,50.0,293.0,DEC,2020
RIBNICA NA POHORJU,17.0,30.0,18.0,2.0,67.0,DEC,2020
ROGAŠKA SLATINA,181.0,220.0,152.0,89.0,642.0,DEC,2020
ROGAŠOVCI,118.0,64.0,24.0,18.0,224.0,DEC,2020
ROGATEC,71.0,74.0,54.0,27.0,226.0,DEC,2020
RUŠE,103.0,116.0,119.0,58.0,396.0,DEC,2020
SELNICA OB DRAVI,44.0,67.0,61.0,27.0,199.0,DEC,2020
SEMIČ,80.0,54.0,35.0,13.0,182.0,DEC,2020
SEVNICA,179.0,243.0,154.0,110.0,686.0,DEC,2020
SEŽANA,153.0,117.0,139.0,87.0,496.0,DEC,2020
SLOVENJ GRADEC,148.0,172.0,160.0,136.0,616.0,DEC,2020
SLOVENSKA BISTRICA,268.0,248.0,279.0,184.0,979.0,DEC,2020
SLOVENSKE KONJICE,257.0,235.0,213.0,125.0,830.0,DEC,2020
SODRAŽICA,14.0,21.0,16.0,10.0,61.0,DEC,2020
SOLČAVA,0.0,5.0,5.0,3.0,13.0,DEC,2020
SREDIŠČE OB DRAVI,21.0,22.0,20.0,18.0,81.0,DEC,2020
STARŠE,31.0,58.0,51.0,25.0,165.0,DEC,2020
STRAŽA,36.0,22.0,29.0,14.0,101.0,DEC,2020
SVETA ANA,23.0,30.0,11.0,9.0,73.0,DEC,2020
SVETA TROJICA V SLOVENSKIH GORICAH,12.0,23.0,16.0,11.0,62.0,DEC,2020
SVETI ANDRAŽ V SLOV. GORICAH,14.0,13.0,15.0,6.0,48.0,DEC,2020
SVETI JURIJ OB ŠČAVNICI,30.0,35.0,33.0,21.0,119.0,DEC,2020
SVETI JURIJ V SLOVENSKIH GORICAH,12.0,12.0,15.0,8.0,47.0,DEC,2020
SVETI TOMAŽ,31.0,42.0,30.0,13.0,116.0,DEC,2020
ŠALOVCI,24.0,13.0,12.0,6.0,55.0,DEC,2020
ŠEMPETER-VRTOJBA,64.0,27.0,54.0,35.0,180.0,DEC,2020
ŠENČUR,65.0,49.0,83.0,42.0,239.0,DEC,2020
ŠENTILJ,110.0,118.0,82.0,48.0,358.0,DEC,2020
ŠENTJERNEJ,141.0,56.0,38.0,27.0,262.0,DEC,2020
ŠENTJUR,181.0,243.0,244.0,139.0,807.0,DEC,2020
ŠENTRUPERT,14.0,11.0,19.0,11.0,55.0,DEC,2020
ŠKOCJAN,90.0,29.0,26.0,10.0,155.0,DEC,2020
ŠKOFJA LOKA,176.0,132.0,162.0,129.0,599.0,DEC,2020
ŠKOFLJICA,92.0,93.0,109.0,78.0,372.0,DEC,2020
ŠMARJE PRI JELŠAH,154.0,159.0,139.0,59.0,511.0,DEC,2020
ŠMARJEŠKE TOPLICE,21.0,24.0,21.0,14.0,80.0,DEC,2020
ŠMARTNO OB PAKI,35.0,40.0,37.0,20.0,132.0,DEC,2020
ŠMARTNO PRI LITIJI,44.0,55.0,36.0,26.0,161.0,DEC,2020
ŠOŠTANJ,120.0,85.0,76.0,61.0,342.0,DEC,2020
ŠTORE,45.0,57.0,43.0,27.0,172.0,DEC,2020
TABOR,13.0,19.0,15.0,12.0,59.0,DEC,2020
TIŠINA,94.0,66.0,34.0,23.0,217.0,DEC,2020
TOLMIN,92.0,84.0,82.0,54.0,312.0,DEC,2020
TRBOVLJE,362.0,266.0,256.0,130.0,1014.0,DEC,2020
TREBNJE,178.0,84.0,72.0,44.0,378.0,DEC,2020
TRNOVSKA VAS,8.0,16.0,10.0,6.0,40.0,DEC,2020
TRZIN,31.0,22.0,33.0,31.0,117.0,DEC,2020
TRŽIČ,162.0,130.0,146.0,61.0,499.0,DEC,2020
TURNIŠČE,64.0,67.0,28.0,22.0,181.0,DEC,2020
VELENJE,473.0,395.0,418.0,251.0,1537.0,DEC,2020
VELIKA POLANA,18.0,31.0,11.0,2.0,62.0,DEC,2020
VELIKE LAŠČE,34.0,34.0,42.0,20.0,130.0,DEC,2020
VERŽEJ,14.0,12.0,12.0,14.0,52.0,DEC,2020
VIDEM,70.0,81.0,64.0,26.0,241.0,DEC,2020
VIPAVA,46.0,39.0,46.0,40.0,171.0,DEC,2020
VITANJE,30.0,21.0,19.0,8.0,78.0,DEC,2020
VODICE,30.0,34.0,41.0,33.0,138.0,DEC,2020
VOJNIK,70.0,82.0,89.0,61.0,302.0,DEC,2020
VRANSKO,20.0,32.0,20.0,23.0,95.0,DEC,2020
VRHNIKA,181.0,148.0,187.0,120.0,636.0,DEC,2020
VUZENICA,18.0,32.0,21.0,23.0,94.0,DEC,2020
ZAGORJE OB SAVI,204.0,153.0,167.0,81.0,605.0,DEC,2020
ZAVRČ,28.0,27.0,15.0,4.0,74.0,DEC,2020
ZREČE,100.0,99.0,100.0,41.0,340.0,DEC,2020
ŽALEC,280.0,262.0,275.0,172.0,989.0,DEC,2020
ŽELEZNIKI,31.0,30.0,26.0,24.0,111.0,DEC,2020
ŽETALE,14.0,8.0,18.0,12.0,52.0,DEC,2020
ŽIRI,13.0,29.0,32.0,31.0,105.0,DEC,2020
ŽIROVNICA,21.0,31.0,38.0,25.0,115.0,DEC,2020
ŽUŽEMBERK,41.0,43.0,34.0,21.0,139.0,DEC,2020
OBČINA IZVEN RS,655.0,91.0,70.0,81.0,897.0,DEC,2020
,,,,,,DEC,2020
,,,,,87283.0,DEC,2020
AJDOVŠČINA,209.0,171.0,151.0,105.0,636.0,JAN,2021
ANKARAN,35.0,32.0,44.0,20.0,131.0,JAN,2021
APAČE,69.0,65.0,33.0,20.0,187.0,JAN,2021
BELTINCI,179.0,142.0,107.0,49.0,477.0,JAN,2021
BENEDIKT,29.0,23.0,21.0,9.0,82.0,JAN,2021
BISTRICA OB SOTLI,22.0,22.0,18.0,13.0,75.0,JAN,2021
BLED,55.0,60.0,107.0,69.0,291.0,JAN,2021
BLOKE,11.0,15.0,20.0,4.0,50.0,JAN,2021
BOHINJ,52.0,44.0,44.0,22.0,162.0,JAN,2021
BOROVNICA,57.0,55.0,40.0,32.0,184.0,JAN,2021
BOVEC,26.0,28.0,26.0,24.0,104.0,JAN,2021
BRASLOVČE,48.0,47.0,61.0,34.0,190.0,JAN,2021
BRDA,31.0,30.0,39.0,35.0,135.0,JAN,2021
BREZOVICA,81.0,114.0,143.0,94.0,432.0,JAN,2021
BREŽICE,351.0,409.0,328.0,182.0,1270.0,JAN,2021
CANKOVA,55.0,27.0,35.0,7.0,124.0,JAN,2021
CELJE,781.0,678.0,746.0,494.0,2699.0,JAN,2021
CERKLJE NA GORENJSKEM,62.0,53.0,73.0,50.0,238.0,JAN,2021
CERKNICA,77.0,104.0,100.0,69.0,350.0,JAN,2021
CERKNO,14.0,19.0,27.0,23.0,83.0,JAN,2021
CERKVENJAK,24.0,22.0,17.0,8.0,71.0,JAN,2021
CIRKULANE,38.0,44.0,25.0,14.0,121.0,JAN,2021
ČRENŠOVCI,133.0,76.0,40.0,21.0,270.0,JAN,2021
ČRNA NA KOROŠKEM,20.0,38.0,18.0,12.0,88.0,JAN,2021
ČRNOMELJ,391.0,212.0,151.0,58.0,812.0,JAN,2021
DESTRNIK,35.0,33.0,30.0,8.0,106.0,JAN,2021
DIVAČA,55.0,53.0,54.0,24.0,186.0,JAN,2021
DOBJE,7.0,12.0,8.0,5.0,32.0,JAN,2021
DOBREPOLJE,32.0,44.0,28.0,16.0,120.0,JAN,2021
DOBRNA,11.0,24.0,21.0,16.0,72.0,JAN,2021
DOBROVA - POLHOV GRADEC,33.0,54.0,67.0,32.0,186.0,JAN,2021
DOBROVNIK,37.0,27.0,19.0,7.0,90.0,JAN,2021
DOL PRI LJUBLJANI,51.0,63.0,48.0,46.0,208.0,JAN,2021
DOLENJSKE TOPLICE,26.0,21.0,29.0,20.0,96.0,JAN,2021
DOMŽALE,377.0,309.0,363.0,251.0,1300.0,JAN,2021
DORNAVA,27.0,34.0,26.0,14.0,101.0,JAN,2021
DRAVOGRAD,91.0,109.0,85.0,46.0,331.0,JAN,2021
DUPLEK,90.0,117.0,97.0,55.0,359.0,JAN,2021
GORENJA VAS - POLJANE,37.0,50.0,45.0,26.0,158.0,JAN,2021
GORIŠNICA,29.0,58.0,44.0,19.0,150.0,JAN,2021
GORJE,15.0,32.0,28.0,24.0,99.0,JAN,2021
GORNJA RADGONA,119.0,151.0,102.0,67.0,439.0,JAN,2021
GORNJI GRAD,16.0,22.0,15.0,11.0,64.0,JAN,2021
GORNJI PETROVCI,39.0,33.0,19.0,11.0,102.0,JAN,2021
GRAD,40.0,29.0,21.0,6.0,96.0,JAN,2021
GROSUPLJE,315.0,182.0,175.0,114.0,786.0,JAN,2021
HAJDINA,25.0,40.0,52.0,25.0,142.0,JAN,2021
HOČE - SLIVNICA,160.0,155.0,172.0,106.0,593.0,JAN,2021
HODOŠ,12.0,7.0,2.0,2.0,23.0,JAN,2021
HORJUL,10.0,20.0,31.0,16.0,77.0,JAN,2021
HRASTNIK,199.0,140.0,109.0,63.0,511.0,JAN,2021
HRPELJE - KOZINA,45.0,58.0,42.0,28.0,173.0,JAN,2021
IDRIJA,108.0,79.0,77.0,63.0,327.0,JAN,2021
IG,78.0,74.0,70.0,46.0,268.0,JAN,2021
ILIRSKA BISTRICA,121.0,120.0,108.0,69.0,418.0,JAN,2021
IVANČNA GORICA,135.0,136.0,150.0,85.0,506.0,JAN,2021
IZOLA,303.0,193.0,210.0,121.0,827.0,JAN,2021
JESENICE,296.0,243.0,204.0,86.0,829.0,JAN,2021
JEZERSKO,4.0,2.0,6.0,3.0,15.0,JAN,2021
JURŠINCI,24.0,32.0,29.0,7.0,92.0,JAN,2021
KAMNIK,320.0,271.0,316.0,150.0,1057.0,JAN,2021
KANAL,64.0,44.0,55.0,43.0,206.0,JAN,2021
KIDRIČEVO,54.0,81.0,85.0,39.0,259.0,JAN,2021
KOBARID,24.0,33.0,23.0,23.0,103.0,JAN,2021
KOBILJE,7.0,10.0,6.0,1.0,24.0,JAN,2021
KOČEVJE,500.0,353.0,216.0,94.0,1163.0,JAN,2021
KOMEN,29.0,23.0,38.0,20.0,110.0,JAN,2021
KOMENDA,44.0,42.0,41.0,25.0,152.0,JAN,2021
KOPER,759.0,612.0,666.0,362.0,2399.0,JAN,2021
KOSTANJEVICA NA KRKI,25.0,34.0,31.0,18.0,108.0,JAN,2021
KOSTEL,8.0,11.0,9.0,3.0,31.0,JAN,2021
KOZJE,59.0,52.0,45.0,25.0,181.0,JAN,2021
KRANJ,812.0,435.0,559.0,395.0,2201.0,JAN,2021
KRANJSKA GORA,25.0,44.0,58.0,36.0,163.0,JAN,2021
KRIŽEVCI,36.0,40.0,50.0,25.0,151.0,JAN,2021
KRŠKO,671.0,411.0,289.0,159.0,1530.0,JAN,2021
KUNGOTA,88.0,79.0,68.0,33.0,268.0,JAN,2021
KUZMA,47.0,21.0,10.0,8.0,86.0,JAN,2021
LAŠKO,165.0,174.0,143.0,78.0,560.0,JAN,2021
LENART,61.0,82.0,75.0,51.0,269.0,JAN,2021
LENDAVA,279.0,205.0,190.0,86.0,760.0,JAN,2021
LITIJA,197.0,144.0,120.0,74.0,535.0,JAN,2021
LJUBLJANA,4234.0,2819.0,3839.0,2784.0,13676.0,JAN,2021
LJUBNO,17.0,23.0,29.0,14.0,83.0,JAN,2021
LJUTOMER,157.0,152.0,133.0,73.0,515.0,JAN,2021
LOG - DRAGOMER,29.0,29.0,37.0,24.0,119.0,JAN,2021
LOGATEC,85.0,117.0,134.0,60.0,396.0,JAN,2021
LOŠKA DOLINA,24.0,22.0,36.0,17.0,99.0,JAN,2021
LOŠKI POTOK,12.0,11.0,12.0,5.0,40.0,JAN,2021
LOVRENC NA POHORJU,32.0,46.0,26.0,14.0,118.0,JAN,2021
LUČE,23.0,19.0,15.0,4.0,61.0,JAN,2021
LUKOVICA,52.0,60.0,47.0,28.0,187.0,JAN,2021
MAJŠPERK,45.0,45.0,55.0,20.0,165.0,JAN,2021
MAKOLE,27.0,33.0,11.0,16.0,87.0,JAN,2021
MARIBOR,2076.0,1689.0,1846.0,1218.0,6829.0,JAN,2021
MARKOVCI,30.0,58.0,49.0,22.0,159.0,JAN,2021
MEDVODE,125.0,133.0,195.0,144.0,597.0,JAN,2021
MENGEŠ,78.0,67.0,90.0,48.0,283.0,JAN,2021
METLIKA,234.0,119.0,86.0,49.0,488.0,JAN,2021
MEŽICA,31.0,43.0,35.0,21.0,130.0,JAN,2021
MIKLAVŽ NA DRAVSKEM POLJU,78.0,104.0,99.0,47.0,328.0,JAN,2021
MIREN - KOSTANJEVICA,45.0,28.0,34.0,30.0,137.0,JAN,2021
MIRNA,17.0,20.0,11.0,8.0,56.0,JAN,2021
MIRNA PEČ,23.0,24.0,14.0,9.0,70.0,JAN,2021
MISLINJA,34.0,47.0,49.0,25.0,155.0,JAN,2021
MOKRONOG - TREBELNO,31.0,25.0,21.0,13.0,90.0,JAN,2021
MORAVČE,36.0,45.0,36.0,23.0,140.0,JAN,2021
MORAVSKE TOPLICE,96.0,81.0,87.0,56.0,320.0,JAN,2021
MOZIRJE,38.0,43.0,48.0,36.0,165.0,JAN,2021
MURSKA SOBOTA,412.0,315.0,309.0,180.0,1216.0,JAN,2021
MUTA,40.0,38.0,32.0,20.0,130.0,JAN,2021
NAKLO,42.0,39.0,51.0,24.0,156.0,JAN,2021
NAZARJE,22.0,24.0,20.0,17.0,83.0,JAN,2021
NOVA GORICA,381.0,234.0,297.0,230.0,1142.0,JAN,2021
NOVO MESTO,597.0,231.0,287.0,226.0,1341.0,JAN,2021
ODRANCI,36.0,20.0,32.0,6.0,94.0,JAN,2021
OPLOTNICA,37.0,40.0,34.0,22.0,133.0,JAN,2021
ORMOŽ,132.0,209.0,152.0,61.0,554.0,JAN,2021
OSILNICA,6.0,8.0,4.0,1.0,19.0,JAN,2021
PESNICA,85.0,110.0,109.0,41.0,345.0,JAN,2021
PIRAN,300.0,275.0,307.0,167.0,1049.0,JAN,2021
PIVKA,73.0,51.0,61.0,34.0,219.0,JAN,2021
PODČETRTEK,54.0,50.0,41.0,20.0,165.0,JAN,2021
PODLEHNIK,36.0,36.0,29.0,8.0,109.0,JAN,2021
PODVELKA,31.0,38.0,33.0,12.0,114.0,JAN,2021
POLJČANE,46.0,55.0,65.0,24.0,190.0,JAN,2021
POLZELA,76.0,51.0,71.0,44.0,242.0,JAN,2021
POSTOJNA,258.0,165.0,174.0,102.0,699.0,JAN,2021
PREBOLD,58.0,53.0,59.0,35.0,205.0,JAN,2021
PREDDVOR,25.0,31.0,34.0,29.0,119.0,JAN,2021
PREVALJE,62.0,82.0,64.0,33.0,241.0,JAN,2021
PTUJ,264.0,297.0,396.0,213.0,1170.0,JAN,2021
PUCONCI,158.0,93.0,60.0,37.0,348.0,JAN,2021
RAČE - FRAM,83.0,101.0,97.0,52.0,333.0,JAN,2021
RADEČE,51.0,41.0,53.0,22.0,167.0,JAN,2021
RADENCI,54.0,70.0,59.0,28.0,211.0,JAN,2021
RADLJE OB DRAVI,67.0,101.0,75.0,40.0,283.0,JAN,2021
RADOVLJICA,160.0,155.0,223.0,112.0,650.0,JAN,2021
RAVNE NA KOROŠKEM,85.0,135.0,145.0,65.0,430.0,JAN,2021
RAZKRIŽJE,17.0,19.0,16.0,4.0,56.0,JAN,2021
REČICA OB SAVINJI,18.0,20.0,31.0,13.0,82.0,JAN,2021
RENČE - VOGRSKO,44.0,25.0,31.0,27.0,127.0,JAN,2021
RIBNICA,105.0,78.0,69.0,44.0,296.0,JAN,2021
RIBNICA NA POHORJU,19.0,27.0,19.0,3.0,68.0,JAN,2021
ROGAŠKA SLATINA,211.0,237.0,168.0,89.0,705.0,JAN,2021
ROGAŠOVCI,127.0,65.0,24.0,22.0,238.0,JAN,2021
ROGATEC,83.0,78.0,60.0,30.0,251.0,JAN,2021
RUŠE,107.0,124.0,117.0,64.0,412.0,JAN,2021
SELNICA OB DRAVI,49.0,77.0,64.0,31.0,221.0,JAN,2021
SEMIČ,81.0,49.0,36.0,15.0,181.0,JAN,2021
SEVNICA,199.0,278.0,174.0,119.0,770.0,JAN,2021
SEŽANA,168.0,122.0,150.0,94.0,534.0,JAN,2021
SLOVENJ GRADEC,155.0,184.0,174.0,136.0,649.0,JAN,2021
SLOVENSKA BISTRICA,286.0,262.0,290.0,198.0,1036.0,JAN,2021
SLOVENSKE KONJICE,273.0,238.0,230.0,127.0,868.0,JAN,2021
SODRAŽICA,18.0,21.0,18.0,10.0,67.0,JAN,2021
SOLČAVA,0.0,7.0,5.0,3.0,15.0,JAN,2021
SREDIŠČE OB DRAVI,25.0,23.0,19.0,20.0,87.0,JAN,2021
STARŠE,31.0,59.0,54.0,28.0,172.0,JAN,2021
STRAŽA,38.0,27.0,25.0,15.0,105.0,JAN,2021
SVETA ANA,26.0,31.0,11.0,6.0,74.0,JAN,2021
SVETA TROJICA V SLOVENSKIH GORICAH,14.0,24.0,15.0,8.0,61.0,JAN,2021
SVETI ANDRAŽ V SLOVENSKIH GORICAH,13.0,12.0,15.0,7.0,47.0,JAN,2021
SVETI JURIJ OB ŠČAVNICI,38.0,37.0,36.0,23.0,134.0,JAN,2021
SVETI JURIJ V SLOVENSKIH GORICAH,14.0,12.0,15.0,9.0,50.0,JAN,2021
SVETI TOMAŽ,32.0,43.0,30.0,10.0,115.0,JAN,2021
ŠALOVCI,31.0,17.0,12.0,6.0,66.0,JAN,2021
ŠEMPETER - VRTOJBA,65.0,27.0,53.0,38.0,183.0,JAN,2021
ŠENČUR,68.0,55.0,80.0,49.0,252.0,JAN,2021
ŠENTILJ,118.0,125.0,89.0,53.0,385.0,JAN,2021
ŠENTJERNEJ,147.0,56.0,42.0,27.0,272.0,JAN,2021
ŠENTJUR,187.0,241.0,245.0,151.0,824.0,JAN,2021
ŠENTRUPERT,14.0,13.0,17.0,10.0,54.0,JAN,2021
ŠKOCJAN,86.0,32.0,25.0,10.0,153.0,JAN,2021
ŠKOFJA LOKA,180.0,134.0,168.0,130.0,612.0,JAN,2021
ŠKOFLJICA,97.0,96.0,116.0,84.0,393.0,JAN,2021
ŠMARJE PRI JELŠAH,164.0,167.0,149.0,63.0,543.0,JAN,2021
ŠMARJEŠKE TOPLICE,21.0,22.0,23.0,13.0,79.0,JAN,2021
ŠMARTNO OB PAKI,37.0,39.0,37.0,20.0,133.0,JAN,2021
ŠMARTNO PRI LITIJI,44.0,55.0,34.0,30.0,163.0,JAN,2021
ŠOŠTANJ,129.0,83.0,88.0,65.0,365.0,JAN,2021
ŠTORE,56.0,61.0,44.0,27.0,188.0,JAN,2021
TABOR,14.0,22.0,17.0,14.0,67.0,JAN,2021
TIŠINA,108.0,70.0,38.0,26.0,242.0,JAN,2021
TOLMIN,95.0,92.0,88.0,57.0,332.0,JAN,2021
TRBOVLJE,368.0,279.0,261.0,141.0,1049.0,JAN,2021
TREBNJE,179.0,88.0,73.0,51.0,391.0,JAN,2021
TRNOVSKA VAS,9.0,16.0,12.0,6.0,43.0,JAN,2021
TRZIN,34.0,25.0,30.0,31.0,120.0,JAN,2021
TRŽIČ,163.0,125.0,147.0,60.0,495.0,JAN,2021
TURNIŠČE,66.0,68.0,31.0,21.0,186.0,JAN,2021
VELENJE,479.0,406.0,430.0,254.0,1569.0,JAN,2021
VELIKA POLANA,21.0,34.0,13.0,3.0,71.0,JAN,2021
VELIKE LAŠČE,38.0,32.0,44.0,26.0,140.0,JAN,2021
VERŽEJ,15.0,13.0,14.0,15.0,57.0,JAN,2021
VIDEM,79.0,88.0,59.0,26.0,252.0,JAN,2021
VIPAVA,42.0,41.0,47.0,45.0,175.0,JAN,2021
VITANJE,31.0,24.0,23.0,8.0,86.0,JAN,2021
VODICE,26.0,34.0,44.0,30.0,134.0,JAN,2021
VOJNIK,80.0,81.0,91.0,68.0,320.0,JAN,2021
VRANSKO,17.0,31.0,20.0,25.0,93.0,JAN,2021
VRHNIKA,179.0,159.0,188.0,117.0,643.0,JAN,2021
VUZENICA,19.0,34.0,24.0,21.0,98.0,JAN,2021
ZAGORJE OB SAVI,209.0,165.0,167.0,84.0,625.0,JAN,2021
ZAVRČ,29.0,36.0,17.0,6.0,88.0,JAN,2021
ZREČE,103.0,99.0,103.0,43.0,348.0,JAN,2021
ŽALEC,322.0,277.0,289.0,177.0,1065.0,JAN,2021
ŽELEZNIKI,28.0,31.0,30.0,21.0,110.0,JAN,2021
ŽETALE,14.0,11.0,17.0,12.0,54.0,JAN,2021
ŽIRI,14.0,31.0,36.0,33.0,114.0,JAN,2021
ŽIROVNICA,23.0,30.0,35.0,30.0,118.0,JAN,2021
ŽUŽEMBERK,43.0,47.0,33.0,20.0,143.0,JAN,2021
OBČINA IZVEN RS,821.0,97.0,74.0,83.0,1075.0,JAN,2021
AJDOVŠČINA,199.0,168.0,138.0,103.0,608.0,FEB,2021
ANKARAN,34.0,31.0,44.0,23.0,132.0,FEB,2021
APAČE,66.0,61.0,35.0,19.0,181.0,FEB,2021
BELTINCI,161.0,125.0,94.0,47.0,427.0,FEB,2021
BENEDIKT,25.0,22.0,17.0,8.0,72.0,FEB,2021
BISTRICA OB SOTLI,27.0,19.0,18.0,14.0,78.0,FEB,2021
BLED,57.0,60.0,105.0,64.0,286.0,FEB,2021
BLOKE,11.0,15.0,19.0,4.0,49.0,FEB,2021
BOHINJ,53.0,45.0,44.0,21.0,163.0,FEB,2021
BOROVNICA,51.0,54.0,34.0,32.0,171.0,FEB,2021
