Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
ILIRSKA BISTRICA,144.0,141.0,104.0,78.0,467.0,JAN,2018,,,,
IVANČNA GORICA,121.0,136.0,136.0,85.0,478.0,JAN,2018,,,,
IZOLA,234.0,180.0,149.0,98.0,661.0,JAN,2018,,,,
JESENICE,228.0,204.0,146.0,65.0,643.0,JAN,2018,,,,
JEZERSKO,4.0,4.0,2.0,5.0,15.0,JAN,2018,,,,
JURŠINCI,23.0,28.0,20.0,8.0,79.0,JAN,2018,,,,
KAMNIK,280.0,241.0,259.0,151.0,931.0,JAN,2018,,,,
KANAL,63.0,51.0,40.0,38.0,192.0,JAN,2018,,,,
KIDRIČEVO,51.0,82.0,63.0,26.0,222.0,JAN,2018,,,,
KOBARID,27.0,36.0,22.0,21.0,106.0,JAN,2018,,,,
KOBILJE,11.0,10.0,10.0,4.0,35.0,JAN,2018,,,,
KOČEVJE,585.0,400.0,207.0,92.0,1284.0,JAN,2018,,,,
KOMEN,20.0,29.0,33.0,25.0,107.0,JAN,2018,,,,
KOMENDA,41.0,46.0,44.0,32.0,163.0,JAN,2018,,,,
KOPER,635.0,494.0,527.0,311.0,1967.0,JAN,2018,,,,
KOSTANJEVICA NA KRKI,29.0,26.0,23.0,11.0,89.0,JAN,2018,,,,
KOSTEL,11.0,11.0,9.0,4.0,35.0,JAN,2018,,,,
KOZJE,50.0,38.0,23.0,23.0,134.0,JAN,2018,,,,
KRANJ,761.0,381.0,473.0,336.0,1951.0,JAN,2018,,,,
KRANJSKA GORA,25.0,39.0,32.0,30.0,126.0,JAN,2018,,,,
KRIŽEVCI,37.0,38.0,32.0,31.0,138.0,JAN,2018,,,,
KRŠKO,691.0,417.0,289.0,158.0,1555.0,JAN,2018,,,,
KUNGOTA,68.0,70.0,56.0,30.0,224.0,JAN,2018,,,,
KUZMA,45.0,22.0,8.0,7.0,82.0,JAN,2018,,,,
LAŠKO,162.0,176.0,171.0,90.0,599.0,JAN,2018,,,,
LENART,53.0,72.0,62.0,45.0,232.0,JAN,2018,,,,
LENDAVA,321.0,250.0,196.0,107.0,874.0,JAN,2018,,,,
LITIJA,188.0,142.0,109.0,73.0,512.0,JAN,2018,,,,
LJUBLJANA,3754.0,2926.0,3580.0,2878.0,13138.0,JAN,2018,,,,
LJUBNO,16.0,28.0,39.0,9.0,92.0,JAN,2018,,,,
LJUTOMER,208.0,217.0,151.0,90.0,666.0,JAN,2018,,,,
LOG - DRAGOMER,27.0,38.0,37.0,26.0,128.0,JAN,2018,,,,
LOGATEC,142.0,121.0,112.0,71.0,446.0,JAN,2018,,,,
LOŠKA DOLINA,47.0,46.0,51.0,23.0,167.0,JAN,2018,,,,
LOŠKI POTOK,21.0,25.0,21.0,8.0,75.0,JAN,2018,,,,
