Kohezijska / Statistična regija,1+2              OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"Kohezijska / 
statistična regija","OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
,,,,,4145.0,MAJ,2022,Jugovzhodna Slovenija,2011.0,927.0,756.0,451.0
,,,,,1756.0,MAJ,2022,Koroška,419.0,586.0,473.0,278.0
,,,,,9824.0,MAJ,2022,Podravska,2650.0,2706.0,2743.0,1725.0
,,,,,3573.0,MAJ,2022,Pomurska,1307.0,957.0,814.0,495.0
,,,,,2586.0,MAJ,2022,Posavska,941.0,749.0,587.0,309.0
,,,,,1004.0,MAJ,2022,Primorsko-notranjska,329.0,269.0,252.0,154.0
,,,,,7824.0,MAJ,2022,Savinjska,2241.0,2178.0,2094.0,1311.0
,,,,,1820.0,MAJ,2022,Zasavska,634.0,507.0,448.0,231.0
,,,,,,MAJ,2022,,,,,
,,,,,22819.0,MAJ,2022,Zahodna Slovenija,6714.0,5200.0,6359.0,4546.0
,,,,,3348.0,MAJ,2022,Gorenjska,912.0,800.0,961.0,675.0
,,,,,2087.0,MAJ,2022,Goriška,652.0,482.0,494.0,459.0
,,,,,3009.0,MAJ,2022,Obalno-kraška,912.0,753.0,837.0,507.0
,,,,,14375.0,MAJ,2022,Osrednjeslovenska,4238.0,3165.0,4067.0,2905.0
,,,,,,MAJ,2022,,,,,
,,,,,503.0,MAJ,2022,Občina izven RS,403.0,22.0,31.0,47.0
,,,,,53860.0,JUN,2022,Slovenija,17003.0,13581.0,13941.0,9335.0
,,,,,,JUN,2022,,,,,
,,,,,31292.0,JUN,2022,Vzhodna Slovenija,10118.0,8537.0,7819.0,4818.0
,,,,,4048.0,JUN,2022,Jugovzhodna Slovenija,1955.0,891.0,751.0,451.0
,,,,,1687.0,JUN,2022,Koroška,406.0,570.0,443.0,268.0
,,,,,9443.0,JUN,2022,Podravska,2540.0,2600.0,2620.0,1683.0
,,,,,3367.0,JUN,2022,Pomurska,1242.0,916.0,750.0,459.0
,,,,,2454.0,JUN,2022,Posavska,890.0,720.0,547.0,297.0
,,,,,950.0,JUN,2022,Primorsko-notranjska,303.0,251.0,248.0,148.0
,,,,,7587.0,JUN,2022,Savinjska,2170.0,2108.0,2024.0,1285.0
,,,,,1756.0,JUN,2022,Zasavska,612.0,481.0,436.0,227.0
,,,,,,JUN,2022,,,,,
,,,,,21997.0,JUN,2022,Zahodna Slovenija,6412.0,5019.0,6097.0,4469.0
,,,,,3242.0,JUN,2022,Gorenjska,878.0,782.0,922.0,660.0
,,,,,2020.0,JUN,2022,Goriška,626.0,465.0,470.0,459.0
,,,,,2815.0,JUN,2022,Obalno-kraška,863.0,696.0,784.0,472.0
,,,,,13920.0,JUN,2022,Osrednjeslovenska,4045.0,3076.0,3921.0,2878.0
,,,,,,JUN,2022,,,,,
,,,,,571.0,JUN,2022,Občina izven RS,473.0,25.0,25.0,48.0
,,,,,54341.0,JUL,2022,Slovenija,16818.0,13554.0,14122.0,9847.0
,,,,,,JUL,2022,,,,,
,,,,,31585.0,JUL,2022,Vzhodna Slovenija,10023.0,8545.0,7917.0,5100.0
,,,,,4106.0,JUL,2022,Jugovzhodna Slovenija,1940.0,878.0,799.0,489.0
,,,,,1702.0,JUL,2022,Koroška,410.0,563.0,449.0,280.0
,,,,,9453.0,JUL,2022,Podravska,2501.0,2609.0,2591.0,1752.0
,,,,,3376.0,JUL,2022,Pomurska,1214.0,901.0,770.0,491.0
,,,,,2472.0,JUL,2022,Posavska,885.0,723.0,562.0,302.0
,,,,,962.0,JUL,2022,Primorsko-notranjska,290.0,256.0,250.0,166.0
,,,,,7752.0,JUL,2022,Savinjska,2174.0,2140.0,2057.0,1381.0
,,,,,1762.0,JUL,2022,Zasavska,609.0,475.0,439.0,239.0
,,,,,,JUL,2022,,,,,
,,,,,22166.0,JUL,2022,Zahodna Slovenija,6312.0,4982.0,6177.0,4695.0
,,,,,3352.0,JUL,2022,Gorenjska,868.0,775.0,986.0,723.0
,,,,,2037.0,JUL,2022,Goriška,623.0,460.0,471.0,483.0
,,,,,2817.0,JUL,2022,Obalno-kraška,855.0,694.0,772.0,496.0
,,,,,13960.0,JUL,2022,Osrednjeslovenska,3966.0,3053.0,3948.0,2993.0
,,,,,,JUL,2022,,,,,
,,,,,590.0,JUL,2022,Občina izven RS,483.0,27.0,28.0,52.0
,,,,,53935.0,AVG,2022,Slovenija,16715.0,13358.0,14011.0,9851.0
,,,,,,AVG,2022,,,,,
,,,,,31407.0,AVG,2022,Vzhodna Slovenija,9953.0,8457.0,7863.0,5134.0
,,,,,4124.0,AVG,2022,Jugovzhodna Slovenija,1950.0,899.0,785.0,490.0
,,,,,1678.0,AVG,2022,Koroška,412.0,538.0,448.0,280.0
,,,,,9318.0,AVG,2022,Podravska,2456.0,2566.0,2567.0,1729.0
,,,,,3364.0,AVG,2022,Pomurska,1194.0,889.0,773.0,508.0
,,,,,2482.0,AVG,2022,Posavska,883.0,716.0,570.0,313.0
,,,,,980.0,AVG,2022,Primorsko-notranjska,286.0,261.0,260.0,173.0
,,,,,7747.0,AVG,2022,Savinjska,2184.0,2125.0,2031.0,1407.0
,,,,,1714.0,AVG,2022,Zasavska,588.0,463.0,429.0,234.0
,,,,,,AVG,2022,,,,,
,,,,,21903.0,AVG,2022,Zahodna Slovenija,6240.0,4877.0,6123.0,4663.0
,,,,,3321.0,AVG,2022,Gorenjska,865.0,764.0,967.0,725.0
,,,,,2022.0,AVG,2022,Goriška,615.0,448.0,480.0,479.0
,,,,,2816.0,AVG,2022,Obalno-kraška,843.0,681.0,785.0,507.0
,,,,,13744.0,AVG,2022,Osrednjeslovenska,3917.0,2984.0,3891.0,2952.0
,,,,,,AVG,2022,,,,,
,,,,,625.0,AVG,2022,Občina izven RS,522.0,24.0,25.0,54.0
,,,,,52043.0,SEP,2022,Slovenija,16492.0,13020.0,13479.0,9052.0
,,,,,,SEP,2022,,,,,
,,,,,30230.0,SEP,2022,Vzhodna Slovenija,9806.0,8279.0,7511.0,4634.0
,,,,,4032.0,SEP,2022,Jugovzhodna Slovenija,1954.0,881.0,750.0,447.0
,,,,,1632.0,SEP,2022,Koroška,413.0,526.0,442.0,251.0
,,,,,8874.0,SEP,2022,Podravska,2401.0,2456.0,2458.0,1559.0
,,,,,3241.0,SEP,2022,Pomurska,1180.0,881.0,728.0,452.0
,,,,,2427.0,SEP,2022,Posavska,865.0,711.0,553.0,298.0
,,,,,962.0,SEP,2022,Primorsko-notranjska,283.0,270.0,245.0,164.0
,,,,,7442.0,SEP,2022,Savinjska,2143.0,2106.0,1932.0,1261.0
,,,,,1620.0,SEP,2022,Zasavska,567.0,448.0,403.0,202.0
,,,,,,SEP,2022,,,,,
,,,,,21155.0,SEP,2022,Zahodna Slovenija,6134.0,4717.0,5946.0,4358.0
,,,,,3216.0,SEP,2022,Gorenjska,879.0,737.0,930.0,670.0
,,,,,1908.0,SEP,2022,Goriška,588.0,437.0,454.0,429.0
