Kohezijska / statistična regija,Do 2 meseca,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,"12 do 23
 mesecev","24 do 35
 mesecev",36 mesecev ali več,Skupaj,month,year,"Kohezijska /
statistična regija","do 2
mes.","3-5
mes.","6-8
mes.","9-11
mes.","12-23
mes.","24-35
mes.","36 mes.
ali več"
Podravska,2786.0,1906.0,1334.0,869.0,2470.0,1177.0,2673.0,13215.0,MAR,2019,,,,,,,,
Pomurska,1164.0,755.0,456.0,281.0,913.0,478.0,2048.0,6095.0,MAR,2019,,,,,,,,
Posavska,528.0,419.0,280.0,189.0,477.0,232.0,1136.0,3261.0,MAR,2019,,,,,,,,
Primorsko-notranjska,353.0,227.0,171.0,103.0,273.0,110.0,411.0,1648.0,MAR,2019,,,,,,,,
Savinjska,2317.0,1370.0,1007.0,646.0,1903.0,836.0,2665.0,10744.0,MAR,2019,,,,,,,,
Zasavska,495.0,287.0,258.0,154.0,403.0,196.0,527.0,2320.0,MAR,2019,,,,,,,,
,,,,,,,,,MAR,2019,,,,,,,,
Zahodna Slovenija,6248.0,4283.0,3011.0,2037.0,5522.0,2292.0,7744.0,31137.0,MAR,2019,,,,,,,,
Gorenjska,1280.0,908.0,537.0,344.0,893.0,296.0,797.0,5055.0,MAR,2019,,,,,,,,
Goriška,655.0,440.0,324.0,169.0,569.0,217.0,662.0,3036.0,MAR,2019,,,,,,,,
Obalno-kraška,950.0,619.0,443.0,268.0,665.0,274.0,909.0,4128.0,MAR,2019,,,,,,,,
Osrednjeslovenska,3363.0,2316.0,1707.0,1256.0,3395.0,1505.0,5376.0,18918.0,MAR,2019,,,,,,,,
,,,,,,,,,MAR,2019,,,,,,,,
Občina izven RS,273.0,114.0,50.0,24.0,65.0,11.0,20.0,557.0,MAR,2019,,,,,,,,
Slovenija,11438.0,11457.0,7558.0,5087.0,13237.0,5750.0,19438.0,73965.0,APR,2019,,,,,,,,
,,,,,,,,,APR,2019,,,,,,,,
Vzhodna Slovenija,6429.0,6737.0,4357.0,2902.0,7634.0,3447.0,11771.0,43277.0,APR,2019,,,,,,,,
Jugovzhodna Slovenija,634.0,675.0,419.0,340.0,890.0,330.0,1777.0,5065.0,APR,2019,,,,,,,,
Koroška,429.0,342.0,235.0,143.0,353.0,157.0,595.0,2254.0,APR,2019,,,,,,,,
Podravska,2013.0,2130.0,1430.0,898.0,2492.0,1148.0,2657.0,12768.0,APR,2019,,,,,,,,
Pomurska,667.0,890.0,523.0,296.0,889.0,470.0,2023.0,5758.0,APR,2019,,,,,,,,
Posavska,355.0,441.0,300.0,201.0,471.0,224.0,1129.0,3121.0,APR,2019,,,,,,,,
Primorsko-notranjska,244.0,252.0,165.0,107.0,274.0,115.0,404.0,1561.0,APR,2019,,,,,,,,
Savinjska,1715.0,1608.0,1049.0,740.0,1869.0,804.0,2670.0,10455.0,APR,2019,,,,,,,,
Zasavska,372.0,399.0,236.0,177.0,396.0,199.0,516.0,2295.0,APR,2019,,,,,,,,
,,,,,,,,,APR,2019,,,,,,,,
Zahodna Slovenija,4792.0,4595.0,3143.0,2161.0,5543.0,2290.0,7646.0,30170.0,APR,2019,,,,,,,,
Gorenjska,1032.0,952.0,540.0,377.0,896.0,283.0,778.0,4858.0,APR,2019,,,,,,,,
Goriška,469.0,474.0,370.0,193.0,542.0,222.0,655.0,2925.0,APR,2019,,,,,,,,
Obalno-kraška,665.0,652.0,472.0,278.0,657.0,276.0,903.0,3903.0,APR,2019,,,,,,,,
Osrednjeslovenska,2626.0,2517.0,1761.0,1313.0,3448.0,1509.0,5310.0,18484.0,APR,2019,,,,,,,,
,,,,,,,,,APR,2019,,,,,,,,
Občina izven RS,217.0,125.0,58.0,24.0,60.0,13.0,21.0,518.0,APR,2019,,,,,,,,
Slovenija,10972.0,10194.0,7968.0,4514.0,13379.0,5684.0,19301.0,72012.0,MAJ,2019,,,,,,,,
,,,,,,,,,MAJ,2019,,,,,,,,
Vzhodna Slovenija,6060.0,5994.0,4625.0,2568.0,7743.0,3426.0,11692.0,42108.0,MAJ,2019,,,,,,,,
Jugovzhodna Slovenija,603.0,583.0,458.0,293.0,915.0,335.0,1747.0,4934.0,MAJ,2019,,,,,,,,
Koroška,428.0,309.0,257.0,128.0,352.0,159.0,592.0,2225.0,MAJ,2019,,,,,,,,
Podravska,1894.0,1878.0,1504.0,806.0,2497.0,1174.0,2635.0,12388.0,MAJ,2019,,,,,,,,
