Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
OS Celje,2341.0,2362.0,2064.0,1260.0,8027.0,NOV,2019,,,,
UD Celje,670.0,707.0,699.0,527.0,2603.0,NOV,2019,,,,
UD Laško,163.0,172.0,157.0,72.0,564.0,NOV,2019,,,,
UD Slovenske Konjice,385.0,373.0,302.0,146.0,1206.0,NOV,2019,,,,
UD Šentjur,207.0,261.0,200.0,135.0,803.0,NOV,2019,,,,
UD Šmarje pri Jelšah,466.0,434.0,317.0,153.0,1370.0,NOV,2019,,,,
UD Žalec,450.0,415.0,389.0,227.0,1481.0,NOV,2019,,,,
OS Koper,1584.0,1234.0,1299.0,743.0,4860.0,NOV,2019,,,,
UD Ilirska Bistrica,132.0,112.0,90.0,59.0,393.0,NOV,2019,,,,
UD Izola,176.0,131.0,106.0,68.0,481.0,NOV,2019,,,,
UD Koper,620.0,474.0,538.0,313.0,1945.0,NOV,2019,,,,
UD Piran,207.0,181.0,226.0,117.0,731.0,NOV,2019,,,,
UD Postojna,273.0,182.0,169.0,79.0,703.0,NOV,2019,,,,
UD Sežana,176.0,154.0,170.0,107.0,607.0,NOV,2019,,,,
OS Kranj,1359.0,1072.0,1361.0,931.0,4723.0,NOV,2019,,,,
UD Jesenice,204.0,164.0,184.0,102.0,654.0,NOV,2019,,,,
UD Kranj,684.0,459.0,638.0,482.0,2263.0,NOV,2019,,,,
UD Radovljica,189.0,174.0,230.0,161.0,754.0,NOV,2019,,,,
UD Škofja Loka,167.0,178.0,206.0,140.0,691.0,NOV,2019,,,,
UD Tržič,115.0,97.0,103.0,46.0,361.0,NOV,2019,,,,
OS Ljubljana,6043.0,4657.0,5704.0,4349.0,20753.0,NOV,2019,,,,
UD Cerknica,76.0,114.0,124.0,69.0,383.0,NOV,2019,,,,
UD Domžale,437.0,366.0,432.0,314.0,1549.0,NOV,2019,,,,
UD Grosuplje,396.0,318.0,284.0,168.0,1166.0,NOV,2019,,,,
UD Kamnik,277.0,253.0,242.0,168.0,940.0,NOV,2019,,,,
UD Kočevje,472.0,312.0,184.0,75.0,1043.0,NOV,2019,,,,
UD Ljubljana,3997.0,2906.0,4075.0,3324.0,14302.0,NOV,2019,,,,
UD Logatec,101.0,92.0,95.0,57.0,345.0,NOV,2019,,,,
UD Ribnica,112.0,100.0,81.0,45.0,338.0,NOV,2019,,,,
UD Vrhnika,175.0,196.0,187.0,129.0,687.0,NOV,2019,,,,
OS Maribor,2709.0,2576.0,2722.0,1840.0,9847.0,NOV,2019,,,,
UD Lenart,85.0,119.0,105.0,52.0,361.0,NOV,2019,,,,
UD Maribor,1979.0,1789.0,1972.0,1414.0,7154.0,NOV,2019,,,,
UD Pesnica,181.0,200.0,138.0,90.0,609.0,NOV,2019,,,,
UD Ruše,135.0,164.0,172.0,89.0,560.0,NOV,2019,,,,
UD Slovenska Bistrica,329.0,304.0,335.0,195.0,1163.0,NOV,2019,,,,
OS Murska Sobota,2217.0,1617.0,1231.0,693.0,5758.0,NOV,2019,,,,
UD Gornja Radgona,258.0,275.0,203.0,99.0,835.0,NOV,2019,,,,
UD Lendava,522.0,381.0,256.0,120.0,1279.0,NOV,2019,,,,
UD Ljutomer,214.0,209.0,162.0,106.0,691.0,NOV,2019,,,,
UD Murska Sobota,1223.0,752.0,610.0,368.0,2953.0,NOV,2019,,,,
OS Nova Gorica,899.0,651.0,671.0,527.0,2748.0,NOV,2019,,,,
UD Ajdovščina,182.0,173.0,146.0,118.0,619.0,NOV,2019,,,,
UD Idrija,80.0,64.0,65.0,44.0,253.0,NOV,2019,,,,
UD Nova Gorica,552.0,324.0,360.0,304.0,1540.0,NOV,2019,,,,
UD Tolmin,85.0,90.0,100.0,61.0,336.0,NOV,2019,,,,
OS Novo mesto,1642.0,781.0,633.0,402.0,3458.0,NOV,2019,,,,
UD Črnomelj,395.0,226.0,148.0,67.0,836.0,NOV,2019,,,,
UD Metlika,223.0,92.0,57.0,34.0,406.0,NOV,2019,,,,
UD Novo mesto,804.0,355.0,336.0,250.0,1745.0,NOV,2019,,,,
UD Trebnje,220.0,108.0,92.0,51.0,471.0,NOV,2019,,,,
OS Ptuj,649.0,771.0,819.0,389.0,2628.0,NOV,2019,,,,
UD Ormož,159.0,197.0,159.0,53.0,568.0,NOV,2019,,,,
UD Ptuj,490.0,574.0,660.0,336.0,2060.0,NOV,2019,,,,
OS Sevnica,1091.0,882.0,639.0,330.0,2942.0,NOV,2019,,,,
UD Brežice,297.0,311.0,251.0,117.0,976.0,NOV,2019,,,,
UD Krško,648.0,356.0,254.0,129.0,1387.0,NOV,2019,,,,
UD Sevnica,146.0,215.0,134.0,84.0,579.0,NOV,2019,,,,
OS Trbovlje,769.0,617.0,516.0,304.0,2206.0,NOV,2019,,,,
UD Hrastnik,160.0,119.0,98.0,44.0,421.0,NOV,2019,,,,
UD Litija,186.0,135.0,94.0,75.0,490.0,NOV,2019,,,,
UD Trbovlje,269.0,241.0,190.0,120.0,820.0,NOV,2019,,,,
UD Zagorje,154.0,122.0,134.0,65.0,475.0,NOV,2019,,,,
OS Velenje,1159.0,1346.0,1209.0,731.0,4445.0,NOV,2019,,,,
UD Dravograd,75.0,93.0,81.0,37.0,286.0,NOV,2019,,,,
UD Mozirje,116.0,151.0,154.0,103.0,524.0,NOV,2019,,,,
UD Radlje ob Dravi,128.0,183.0,145.0,82.0,538.0,NOV,2019,,,,
UD Ravne na Koroškem,179.0,267.0,211.0,112.0,769.0,NOV,2019,,,,
UD Slovenj Gradec,176.0,217.0,161.0,107.0,661.0,NOV,2019,,,,
