Občina,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Pesnica,59.0,38.0,68.0,73.0,34.0,73.0,345.0,JAN,2021
Piran,66.0,94.0,243.0,275.0,121.0,250.0,1049.0,JAN,2021
Pivka,23.0,21.0,40.0,48.0,12.0,75.0,219.0,JAN,2021
Podčetrtek,9.0,15.0,41.0,36.0,18.0,46.0,165.0,JAN,2021
Podlehnik,12.0,7.0,18.0,24.0,24.0,24.0,109.0,JAN,2021
Podvelka,10.0,10.0,21.0,25.0,18.0,30.0,114.0,JAN,2021
Poljčane,28.0,27.0,37.0,31.0,23.0,44.0,190.0,JAN,2021
Polzela,24.0,23.0,40.0,57.0,28.0,70.0,242.0,JAN,2021
Postojna,56.0,70.0,169.0,158.0,61.0,185.0,699.0,JAN,2021
Prebold,18.0,20.0,57.0,32.0,21.0,57.0,205.0,JAN,2021
Preddvor,9.0,14.0,32.0,24.0,7.0,33.0,119.0,JAN,2021
Prevalje,44.0,31.0,46.0,32.0,20.0,68.0,241.0,JAN,2021
Ptuj,129.0,184.0,257.0,237.0,117.0,246.0,1170.0,JAN,2021
Puconci,55.0,43.0,65.0,79.0,38.0,68.0,348.0,JAN,2021
Rače - Fram,40.0,31.0,61.0,76.0,39.0,86.0,333.0,JAN,2021
Radeče,18.0,16.0,40.0,31.0,19.0,43.0,167.0,JAN,2021
Radenci,28.0,17.0,49.0,40.0,28.0,49.0,211.0,JAN,2021
Radlje ob Dravi,25.0,32.0,56.0,69.0,33.0,68.0,283.0,JAN,2021
Radovljica,66.0,76.0,160.0,125.0,71.0,152.0,650.0,JAN,2021
Ravne na Koroškem,42.0,57.0,110.0,78.0,46.0,97.0,430.0,JAN,2021
Razkrižje,9.0,8.0,8.0,12.0,7.0,12.0,56.0,JAN,2021
Rečica ob Savinji,3.0,12.0,18.0,16.0,9.0,24.0,82.0,JAN,2021
Renče - Vogrsko,9.0,13.0,35.0,31.0,8.0,31.0,127.0,JAN,2021
Ribnica,49.0,51.0,81.0,54.0,25.0,36.0,296.0,JAN,2021
Ribnica na Pohorju,5.0,4.0,10.0,17.0,14.0,18.0,68.0,JAN,2021
Rogaška Slatina,74.0,70.0,116.0,138.0,112.0,195.0,705.0,JAN,2021
Rogašovci,42.0,29.0,44.0,36.0,28.0,59.0,238.0,JAN,2021
Rogatec,19.0,20.0,42.0,44.0,40.0,86.0,251.0,JAN,2021
Ruše,51.0,39.0,85.0,104.0,46.0,87.0,412.0,JAN,2021
Selnica ob Dravi,28.0,36.0,42.0,39.0,23.0,53.0,221.0,JAN,2021
Semič,14.0,19.0,39.0,33.0,20.0,56.0,181.0,JAN,2021
Sevnica,67.0,89.0,152.0,140.0,90.0,232.0,770.0,JAN,2021
Sežana,33.0,58.0,116.0,131.0,57.0,139.0,534.0,JAN,2021
Slovenj Gradec,60.0,80.0,147.0,132.0,64.0,166.0,649.0,JAN,2021
Slovenska Bistrica,115.0,129.0,245.0,213.0,105.0,229.0,1036.0,JAN,2021
Slovenske Konjice,83.0,104.0,169.0,189.0,94.0,229.0,868.0,JAN,2021
Sodražica,5.0,6.0,16.0,13.0,6.0,21.0,67.0,JAN,2021
Solčava,0.0,3.0,3.0,3.0,3.0,3.0,15.0,JAN,2021
Središče ob Dravi,7.0,12.0,25.0,11.0,10.0,22.0,87.0,JAN,2021
Starše,19.0,18.0,38.0,39.0,15.0,43.0,172.0,JAN,2021
Straža,5.0,12.0,21.0,17.0,14.0,36.0,105.0,JAN,2021
Sveta Ana,11.0,8.0,12.0,14.0,10.0,19.0,74.0,JAN,2021
Sveta Trojica v Slovenskih goricah,10.0,5.0,14.0,14.0,6.0,12.0,61.0,JAN,2021
Sveti Andraž v Slovenskih goricah,8.0,7.0,9.0,8.0,6.0,9.0,47.0,JAN,2021
Sveti Jurij ob Ščavnici,16.0,18.0,32.0,21.0,16.0,31.0,134.0,JAN,2021
Sveti Jurij v Slovenskih goricah,10.0,8.0,13.0,8.0,4.0,7.0,50.0,JAN,2021
Sveti Tomaž,23.0,8.0,19.0,22.0,18.0,25.0,115.0,JAN,2021
Šalovci,8.0,3.0,16.0,13.0,9.0,17.0,66.0,JAN,2021
Šempeter - Vrtojba,11.0,31.0,39.0,44.0,16.0,42.0,183.0,JAN,2021
Šenčur,23.0,29.0,59.0,54.0,22.0,65.0,252.0,JAN,2021
Šentilj,42.0,51.0,82.0,75.0,44.0,91.0,385.0,JAN,2021
Šentjernej,42.0,35.0,59.0,41.0,22.0,73.0,272.0,JAN,2021
Šentjur,84.0,98.0,201.0,166.0,83.0,192.0,824.0,JAN,2021
Šentrupert,2.0,7.0,17.0,5.0,7.0,16.0,54.0,JAN,2021
Škocjan,26.0,19.0,40.0,25.0,14.0,29.0,153.0,JAN,2021
Škofja Loka,53.0,81.0,144.0,116.0,62.0,156.0,612.0,JAN,2021
Škofljica,39.0,43.0,77.0,94.0,42.0,98.0,393.0,JAN,2021
Šmarje pri Jelšah,29.0,58.0,105.0,116.0,83.0,152.0,543.0,JAN,2021
Šmarješke Toplice,2.0,8.0,22.0,18.0,3.0,26.0,79.0,JAN,2021
Šmartno ob Paki,9.0,20.0,33.0,25.0,8.0,38.0,133.0,JAN,2021
Šmartno pri Litiji,28.0,16.0,35.0,31.0,9.0,44.0,163.0,JAN,2021
Šoštanj,36.0,27.0,79.0,71.0,32.0,120.0,365.0,JAN,2021
Štore,17.0,28.0,32.0,44.0,20.0,47.0,188.0,JAN,2021
Tabor,10.0,5.0,16.0,12.0,5.0,19.0,67.0,JAN,2021
Tišina,36.0,33.0,34.0,56.0,33.0,50.0,242.0,JAN,2021
Tolmin,25.0,37.0,63.0,45.0,37.0,125.0,332.0,JAN,2021
Trbovlje,79.0,87.0,267.0,243.0,113.0,260.0,1049.0,JAN,2021
Trebnje,40.0,58.0,83.0,92.0,28.0,90.0,391.0,JAN,2021
Trnovska vas,8.0,5.0,9.0,4.0,5.0,12.0,43.0,JAN,2021
Trzin,13.0,18.0,32.0,29.0,10.0,18.0,120.0,JAN,2021
Tržič,65.0,64.0,119.0,94.0,43.0,110.0,495.0,JAN,2021
Turnišče,22.0,16.0,41.0,40.0,19.0,48.0,186.0,JAN,2021
Velenje,126.0,150.0,372.0,278.0,161.0,482.0,1569.0,JAN,2021
Velika Polana,6.0,8.0,8.0,17.0,13.0,19.0,71.0,JAN,2021
Velike Lašče,11.0,21.0,33.0,25.0,8.0,42.0,140.0,JAN,2021
Veržej,9.0,3.0,11.0,5.0,12.0,17.0,57.0,JAN,2021
Videm,28.0,30.0,42.0,58.0,34.0,60.0,252.0,JAN,2021
Vipava,17.0,18.0,35.0,42.0,22.0,41.0,175.0,JAN,2021
Vitanje,10.0,7.0,20.0,13.0,10.0,26.0,86.0,JAN,2021
Vodice,7.0,19.0,27.0,27.0,9.0,45.0,134.0,JAN,2021
Vojnik,32.0,45.0,82.0,55.0,30.0,76.0,320.0,JAN,2021
Vransko,10.0,16.0,14.0,20.0,10.0,23.0,93.0,JAN,2021
Vrhnika,55.0,68.0,156.0,140.0,64.0,160.0,643.0,JAN,2021
Vuzenica,9.0,8.0,23.0,10.0,18.0,30.0,98.0,JAN,2021
Zagorje ob Savi,62.0,79.0,145.0,124.0,58.0,157.0,625.0,JAN,2021
Zavrč,12.0,6.0,11.0,19.0,15.0,25.0,88.0,JAN,2021
Zreče,43.0,42.0,62.0,47.0,38.0,116.0,348.0,JAN,2021
Žalec,97.0,119.0,218.0,242.0,104.0,285.0,1065.0,JAN,2021
Železniki,11.0,17.0,25.0,14.0,8.0,35.0,110.0,JAN,2021
Žetale,5.0,12.0,16.0,8.0,8.0,5.0,54.0,JAN,2021
Žiri,12.0,20.0,24.0,18.0,8.0,32.0,114.0,JAN,2021
Žirovnica,11.0,20.0,30.0,20.0,10.0,27.0,118.0,JAN,2021
Žužemberk,16.0,7.0,21.0,24.0,22.0,53.0,143.0,JAN,2021
Občina izven RS,140.0,194.0,313.0,220.0,93.0,115.0,1075.0,JAN,2021
Ajdovščina,46.0,62.0,115.0,126.0,65.0,194.0,608.0,FEB,2021
Ankaran,4.0,17.0,44.0,28.0,10.0,29.0,132.0,FEB,2021
Apače,18.0,15.0,41.0,36.0,17.0,54.0,181.0,FEB,2021
Beltinci,50.0,61.0,67.0,72.0,62.0,115.0,427.0,FEB,2021
Benedikt,12.0,8.0,19.0,10.0,8.0,15.0,72.0,FEB,2021
Bistrica ob Sotli,10.0,6.0,17.0,23.0,10.0,12.0,78.0,FEB,2021
Bled,23.0,37.0,73.0,69.0,26.0,58.0,286.0,FEB,2021
Bloke,7.0,9.0,6.0,7.0,3.0,17.0,49.0,FEB,2021
Bohinj,14.0,26.0,29.0,34.0,16.0,44.0,163.0,FEB,2021
Borovnica,12.0,14.0,47.0,38.0,12.0,48.0,171.0,FEB,2021
Bovec,8.0,11.0,26.0,18.0,9.0,30.0,102.0,FEB,2021
Braslovče,15.0,30.0,35.0,30.0,16.0,59.0,185.0,FEB,2021
Brda,10.0,13.0,50.0,27.0,6.0,31.0,137.0,FEB,2021
Brezovica,36.0,42.0,98.0,88.0,58.0,105.0,427.0,FEB,2021
Brežice,127.0,120.0,220.0,239.0,134.0,383.0,1223.0,FEB,2021
Cankova,22.0,12.0,20.0,20.0,19.0,27.0,120.0,FEB,2021
Celje,218.0,313.0,625.0,587.0,248.0,598.0,2589.0,FEB,2021
Cerklje na Gorenjskem,23.0,27.0,57.0,39.0,25.0,51.0,222.0,FEB,2021
Cerknica,24.0,39.0,85.0,57.0,30.0,101.0,336.0,FEB,2021
Cerkno,5.0,13.0,19.0,22.0,8.0,12.0,79.0,FEB,2021
Cerkvenjak,10.0,11.0,12.0,11.0,7.0,10.0,61.0,FEB,2021
Cirkulane,17.0,13.0,16.0,15.0,20.0,36.0,117.0,FEB,2021
Črenšovci,45.0,37.0,42.0,44.0,23.0,67.0,258.0,FEB,2021
Črna na Koroškem,8.0,12.0,19.0,15.0,4.0,21.0,79.0,FEB,2021
Črnomelj,105.0,71.0,143.0,146.0,68.0,247.0,780.0,FEB,2021
Destrnik,19.0,9.0,13.0,29.0,13.0,16.0,99.0,FEB,2021
Divača,13.0,21.0,40.0,32.0,23.0,54.0,183.0,FEB,2021
Dobje,3.0,4.0,7.0,3.0,5.0,8.0,30.0,FEB,2021
Dobrepolje,14.0,12.0,31.0,11.0,18.0,33.0,119.0,FEB,2021
Dobrna,13.0,6.0,19.0,5.0,8.0,22.0,73.0,FEB,2021
Dobrova - Polhov Gradec,18.0,22.0,35.0,39.0,15.0,52.0,181.0,FEB,2021
Dobrovnik,5.0,7.0,18.0,19.0,14.0,28.0,91.0,FEB,2021
Dol pri Ljubljani,13.0,21.0,50.0,41.0,15.0,56.0,196.0,FEB,2021
Dolenjske Toplice,3.0,9.0,13.0,16.0,13.0,41.0,95.0,FEB,2021
Domžale,106.0,133.0,278.0,260.0,175.0,299.0,1251.0,FEB,2021
Dornava,7.0,16.0,18.0,24.0,10.0,29.0,104.0,FEB,2021
Dravograd,31.0,31.0,71.0,51.0,37.0,80.0,301.0,FEB,2021
Duplek,48.0,33.0,74.0,68.0,32.0,81.0,336.0,FEB,2021
Gorenja vas - Poljane,20.0,17.0,28.0,16.0,19.0,46.0,146.0,FEB,2021
Gorišnica,17.0,17.0,31.0,24.0,16.0,42.0,147.0,FEB,2021
Gorje,9.0,11.0,24.0,22.0,10.0,20.0,96.0,FEB,2021
Gornja Radgona,40.0,46.0,85.0,80.0,47.0,119.0,417.0,FEB,2021
Gornji Grad,12.0,10.0,12.0,8.0,4.0,14.0,60.0,FEB,2021
Gornji Petrovci,8.0,13.0,23.0,20.0,7.0,29.0,100.0,FEB,2021
Grad,14.0,9.0,8.0,16.0,18.0,22.0,87.0,FEB,2021
Grosuplje,93.0,93.0,201.0,165.0,57.0,150.0,759.0,FEB,2021
Hajdina,25.0,15.0,31.0,19.0,13.0,28.0,131.0,FEB,2021
Hoče - Slivnica,67.0,70.0,145.0,100.0,51.0,139.0,572.0,FEB,2021
Hodoš,7.0,1.0,5.0,3.0,0.0,5.0,21.0,FEB,2021
Horjul,10.0,10.0,14.0,17.0,9.0,13.0,73.0,FEB,2021
Hrastnik,54.0,51.0,114.0,99.0,58.0,117.0,493.0,FEB,2021
Hrpelje - Kozina,9.0,15.0,34.0,36.0,18.0,56.0,168.0,FEB,2021
Idrija,32.0,38.0,65.0,66.0,39.0,68.0,308.0,FEB,2021
Ig,30.0,26.0,58.0,60.0,26.0,60.0,260.0,FEB,2021
Ilirska Bistrica,31.0,33.0,91.0,82.0,48.0,120.0,405.0,FEB,2021
Ivančna Gorica,61.0,67.0,93.0,99.0,51.0,120.0,491.0,FEB,2021
Izola,64.0,85.0,188.0,191.0,73.0,212.0,813.0,FEB,2021
Jesenice,121.0,89.0,197.0,182.0,61.0,161.0,811.0,FEB,2021
Jezersko,1.0,2.0,2.0,6.0,2.0,2.0,15.0,FEB,2021
Juršinci,12.0,7.0,24.0,23.0,8.0,15.0,89.0,FEB,2021
Kamnik,75.0,95.0,228.0,207.0,111.0,292.0,1008.0,FEB,2021
Kanal,21.0,18.0,42.0,47.0,12.0,65.0,205.0,FEB,2021
Kidričevo,28.0,36.0,55.0,56.0,34.0,54.0,263.0,FEB,2021
Kobarid,7.0,9.0,21.0,14.0,8.0,34.0,93.0,FEB,2021
Kobilje,3.0,3.0,3.0,3.0,2.0,8.0,22.0,FEB,2021
Kočevje,144.0,131.0,263.0,230.0,90.0,252.0,1110.0,FEB,2021
Komen,6.0,8.0,28.0,20.0,10.0,34.0,106.0,FEB,2021
Komenda,13.0,16.0,35.0,34.0,16.0,27.0,141.0,FEB,2021
Koper,174.0,217.0,539.0,546.0,269.0,592.0,2337.0,FEB,2021
Kostanjevica na Krki,7.0,4.0,24.0,26.0,9.0,36.0,106.0,FEB,2021
Kostel,2.0,2.0,5.0,6.0,3.0,12.0,30.0,FEB,2021
Kozje,15.0,9.0,31.0,40.0,18.0,52.0,165.0,FEB,2021
Kranj,164.0,215.0,527.0,443.0,183.0,535.0,2067.0,FEB,2021
Kranjska Gora,13.0,17.0,32.0,39.0,13.0,41.0,155.0,FEB,2021
Križevci,21.0,19.0,37.0,18.0,17.0,26.0,138.0,FEB,2021
Krško,173.0,160.0,291.0,281.0,160.0,414.0,1479.0,FEB,2021
Kungota,21.0,38.0,45.0,63.0,25.0,59.0,251.0,FEB,2021
Kuzma,15.0,6.0,14.0,20.0,6.0,16.0,77.0,FEB,2021
Laško,38.0,50.0,128.0,98.0,60.0,163.0,537.0,FEB,2021
Lenart,38.0,33.0,54.0,53.0,24.0,57.0,259.0,FEB,2021
Lendava,71.0,68.0,123.0,150.0,98.0,226.0,736.0,FEB,2021
Litija,53.0,48.0,119.0,112.0,54.0,140.0,526.0,FEB,2021
Ljubljana,819.0,1332.0,3368.0,3182.0,1283.0,3423.0,13407.0,FEB,2021
Ljubno,7.0,12.0,17.0,14.0,6.0,23.0,79.0,FEB,2021
Ljutomer,62.0,52.0,88.0,107.0,54.0,132.0,495.0,FEB,2021
Log - Dragomer,10.0,12.0,22.0,27.0,12.0,32.0,115.0,FEB,2021
Logatec,33.0,41.0,92.0,79.0,46.0,96.0,387.0,FEB,2021
Loška dolina,13.0,10.0,26.0,14.0,9.0,24.0,96.0,FEB,2021
Loški Potok,4.0,3.0,8.0,8.0,4.0,13.0,40.0,FEB,2021
Lovrenc na Pohorju,17.0,5.0,26.0,29.0,13.0,27.0,117.0,FEB,2021
Luče,3.0,8.0,6.0,10.0,4.0,24.0,55.0,FEB,2021
Lukovica,19.0,15.0,42.0,45.0,18.0,46.0,185.0,FEB,2021
Majšperk,12.0,16.0,25.0,33.0,26.0,41.0,153.0,FEB,2021
Makole,12.0,8.0,22.0,10.0,8.0,21.0,81.0,FEB,2021
Maribor,590.0,717.0,1532.0,1425.0,719.0,1639.0,6622.0,FEB,2021
Markovci,13.0,21.0,27.0,27.0,23.0,36.0,147.0,FEB,2021
Medvode,36.0,74.0,147.0,136.0,55.0,154.0,602.0,FEB,2021
Mengeš,20.0,36.0,61.0,60.0,31.0,69.0,277.0,FEB,2021
Metlika,66.0,41.0,93.0,102.0,53.0,122.0,477.0,FEB,2021
Mežica,13.0,11.0,18.0,19.0,12.0,41.0,114.0,FEB,2021
Miklavž na Dravskem polju,37.0,53.0,65.0,57.0,38.0,69.0,319.0,FEB,2021
Miren - Kostanjevica,8.0,11.0,35.0,29.0,15.0,35.0,133.0,FEB,2021
Mirna,8.0,3.0,13.0,10.0,8.0,12.0,54.0,FEB,2021
Mirna Peč,7.0,5.0,13.0,13.0,6.0,22.0,66.0,FEB,2021
Mislinja,14.0,21.0,25.0,25.0,10.0,49.0,144.0,FEB,2021
Mokronog - Trebelno,8.0,8.0,11.0,15.0,12.0,34.0,88.0,FEB,2021
Moravče,17.0,21.0,33.0,30.0,17.0,21.0,139.0,FEB,2021
Moravske Toplice,21.0,34.0,51.0,80.0,39.0,82.0,307.0,FEB,2021
Mozirje,13.0,18.0,30.0,40.0,15.0,42.0,158.0,FEB,2021
Murska Sobota,149.0,124.0,275.0,240.0,109.0,265.0,1162.0,FEB,2021
Muta,11.0,16.0,20.0,30.0,11.0,31.0,119.0,FEB,2021
Naklo,13.0,20.0,32.0,30.0,15.0,43.0,153.0,FEB,2021
Nazarje,11.0,10.0,17.0,9.0,8.0,20.0,75.0,FEB,2021
Nova Gorica,68.0,144.0,241.0,235.0,107.0,314.0,1109.0,FEB,2021
Novo mesto,124.0,135.0,366.0,280.0,110.0,272.0,1287.0,FEB,2021
Odranci,13.0,2.0,17.0,21.0,10.0,22.0,85.0,FEB,2021
Oplotnica,15.0,22.0,30.0,25.0,7.0,27.0,126.0,FEB,2021
Ormož,81.0,72.0,108.0,91.0,65.0,117.0,534.0,FEB,2021
Osilnica,0.0,4.0,6.0,3.0,1.0,6.0,20.0,FEB,2021
Pesnica,55.0,32.0,62.0,68.0,33.0,67.0,317.0,FEB,2021
Piran,62.0,96.0,235.0,273.0,124.0,250.0,1040.0,FEB,2021
Pivka,22.0,18.0,42.0,47.0,13.0,75.0,217.0,FEB,2021
Podčetrtek,11.0,14.0,41.0,37.0,16.0,47.0,166.0,FEB,2021
Podlehnik,7.0,10.0,18.0,26.0,21.0,23.0,105.0,FEB,2021
Podvelka,10.0,6.0,19.0,24.0,17.0,27.0,103.0,FEB,2021
Poljčane,25.0,27.0,34.0,31.0,22.0,42.0,181.0,FEB,2021
Polzela,20.0,25.0,43.0,51.0,27.0,68.0,234.0,FEB,2021
Postojna,58.0,74.0,155.0,148.0,60.0,171.0,666.0,FEB,2021
Prebold,16.0,17.0,51.0,31.0,21.0,54.0,190.0,FEB,2021
Preddvor,8.0,10.0,25.0,24.0,8.0,31.0,106.0,FEB,2021
Prevalje,38.0,27.0,44.0,26.0,20.0,67.0,222.0,FEB,2021
Ptuj,121.0,163.0,259.0,227.0,125.0,235.0,1130.0,FEB,2021
Puconci,52.0,43.0,60.0,74.0,32.0,66.0,327.0,FEB,2021
Rače - Fram,40.0,32.0,56.0,71.0,40.0,82.0,321.0,FEB,2021
Radeče,18.0,13.0,43.0,31.0,18.0,46.0,169.0,FEB,2021
Radenci,23.0,17.0,45.0,41.0,25.0,46.0,197.0,FEB,2021
Radlje ob Dravi,26.0,28.0,56.0,61.0,33.0,65.0,269.0,FEB,2021
Radovljica,57.0,69.0,147.0,123.0,70.0,151.0,617.0,FEB,2021
Ravne na Koroškem,41.0,54.0,98.0,67.0,49.0,90.0,399.0,FEB,2021
Razkrižje,8.0,9.0,7.0,10.0,6.0,11.0,51.0,FEB,2021
Rečica ob Savinji,3.0,10.0,19.0,17.0,8.0,19.0,76.0,FEB,2021
Renče - Vogrsko,8.0,12.0,35.0,31.0,5.0,32.0,123.0,FEB,2021
Ribnica,46.0,49.0,80.0,53.0,25.0,34.0,287.0,FEB,2021
Ribnica na Pohorju,6.0,3.0,11.0,14.0,14.0,17.0,65.0,FEB,2021
Rogaška Slatina,68.0,67.0,111.0,133.0,104.0,182.0,665.0,FEB,2021
Rogašovci,41.0,23.0,40.0,36.0,28.0,55.0,223.0,FEB,2021
Rogatec,16.0,16.0,38.0,42.0,35.0,85.0,232.0,FEB,2021
Ruše,50.0,31.0,81.0,103.0,39.0,85.0,389.0,FEB,2021
Selnica ob Dravi,27.0,40.0,36.0,38.0,20.0,52.0,213.0,FEB,2021
Semič,16.0,17.0,34.0,30.0,20.0,60.0,177.0,FEB,2021
Sevnica,64.0,73.0,138.0,134.0,88.0,236.0,733.0,FEB,2021
Sežana,33.0,61.0,107.0,131.0,52.0,135.0,519.0,FEB,2021
Slovenj Gradec,52.0,70.0,138.0,127.0,63.0,167.0,617.0,FEB,2021
Slovenska Bistrica,107.0,120.0,223.0,199.0,99.0,227.0,975.0,FEB,2021
Slovenske Konjice,75.0,94.0,162.0,174.0,89.0,225.0,819.0,FEB,2021
Sodražica,5.0,8.0,16.0,12.0,7.0,21.0,69.0,FEB,2021
Solčava,0.0,3.0,3.0,3.0,3.0,2.0,14.0,FEB,2021
Središče ob Dravi,8.0,12.0,21.0,11.0,11.0,23.0,86.0,FEB,2021
Starše,20.0,19.0,35.0,35.0,14.0,38.0,161.0,FEB,2021
Straža,5.0,9.0,24.0,18.0,15.0,39.0,110.0,FEB,2021
Sveta Ana,11.0,8.0,11.0,11.0,11.0,16.0,68.0,FEB,2021
Sveta Trojica v Slovenskih goricah,10.0,6.0,14.0,12.0,7.0,11.0,60.0,FEB,2021
Sveti Andraž v Slovenskih goricah,8.0,6.0,9.0,10.0,5.0,10.0,48.0,FEB,2021
Sveti Jurij ob Ščavnici,13.0,14.0,32.0,22.0,16.0,28.0,125.0,FEB,2021
Sveti Jurij v Slovenskih goricah,10.0,6.0,11.0,3.0,2.0,8.0,40.0,FEB,2021
Sveti Tomaž,21.0,7.0,14.0,24.0,19.0,26.0,111.0,FEB,2021
Šalovci,8.0,4.0,13.0,13.0,7.0,15.0,60.0,FEB,2021
Šempeter - Vrtojba,13.0,27.0,37.0,41.0,17.0,40.0,175.0,FEB,2021
Šenčur,18.0,27.0,56.0,51.0,23.0,62.0,237.0,FEB,2021
Šentilj,44.0,46.0,77.0,77.0,43.0,85.0,372.0,FEB,2021
Šentjernej,38.0,34.0,54.0,45.0,22.0,74.0,267.0,FEB,2021
Šentjur,79.0,98.0,199.0,157.0,79.0,203.0,815.0,FEB,2021
Šentrupert,3.0,7.0,18.0,5.0,7.0,15.0,55.0,FEB,2021
Škocjan,26.0,17.0,38.0,23.0,14.0,29.0,147.0,FEB,2021
Škofja Loka,45.0,80.0,139.0,112.0,58.0,145.0,579.0,FEB,2021
Škofljica,37.0,43.0,75.0,95.0,43.0,95.0,388.0,FEB,2021
Šmarje pri Jelšah,31.0,56.0,101.0,113.0,76.0,150.0,527.0,FEB,2021
Šmarješke Toplice,1.0,7.0,21.0,15.0,3.0,27.0,74.0,FEB,2021
Šmartno ob Paki,9.0,19.0,33.0,20.0,9.0,36.0,126.0,FEB,2021
Šmartno pri Litiji,29.0,15.0,40.0,32.0,11.0,44.0,171.0,FEB,2021
Šoštanj,36.0,26.0,73.0,66.0,29.0,118.0,348.0,FEB,2021
Štore,14.0,29.0,32.0,40.0,19.0,40.0,174.0,FEB,2021
Tabor,8.0,5.0,16.0,13.0,5.0,19.0,66.0,FEB,2021
Tišina,36.0,25.0,32.0,49.0,32.0,41.0,215.0,FEB,2021
Tolmin,25.0,31.0,60.0,42.0,38.0,126.0,322.0,FEB,2021
Trbovlje,76.0,78.0,261.0,245.0,101.0,252.0,1013.0,FEB,2021
Trebnje,36.0,55.0,75.0,87.0,29.0,90.0,372.0,FEB,2021
Trnovska vas,8.0,3.0,10.0,3.0,7.0,10.0,41.0,FEB,2021
Trzin,12.0,17.0,33.0,29.0,11.0,19.0,121.0,FEB,2021
Tržič,50.0,51.0,113.0,85.0,43.0,100.0,442.0,FEB,2021
Turnišče,23.0,14.0,36.0,37.0,22.0,47.0,179.0,FEB,2021
Velenje,102.0,135.0,339.0,262.0,148.0,485.0,1471.0,FEB,2021
Velika Polana,6.0,8.0,5.0,14.0,12.0,19.0,64.0,FEB,2021
Velike Lašče,12.0,20.0,33.0,24.0,11.0,41.0,141.0,FEB,2021
Veržej,9.0,2.0,11.0,5.0,11.0,15.0,53.0,FEB,2021
Videm,25.0,32.0,40.0,51.0,32.0,58.0,238.0,FEB,2021
Vipava,15.0,20.0,37.0,39.0,23.0,40.0,174.0,FEB,2021
Vitanje,10.0,6.0,19.0,11.0,11.0,26.0,83.0,FEB,2021
Vodice,8.0,17.0,25.0,30.0,9.0,43.0,132.0,FEB,2021
Vojnik,36.0,44.0,75.0,54.0,29.0,76.0,314.0,FEB,2021
Vransko,11.0,13.0,12.0,18.0,10.0,25.0,89.0,FEB,2021
Vrhnika,52.0,64.0,149.0,136.0,59.0,155.0,615.0,FEB,2021
Vuzenica,7.0,8.0,24.0,8.0,16.0,30.0,93.0,FEB,2021
Zagorje ob Savi,57.0,73.0,138.0,123.0,53.0,147.0,591.0,FEB,2021
Zavrč,12.0,6.0,10.0,19.0,14.0,22.0,83.0,FEB,2021
Zreče,39.0,41.0,59.0,48.0,37.0,112.0,336.0,FEB,2021
Žalec,93.0,113.0,217.0,221.0,96.0,277.0,1017.0,FEB,2021
Železniki,11.0,14.0,23.0,13.0,7.0,36.0,104.0,FEB,2021
Žetale,6.0,11.0,15.0,7.0,8.0,3.0,50.0,FEB,2021
Žiri,11.0,19.0,23.0,17.0,8.0,30.0,108.0,FEB,2021
Žirovnica,12.0,19.0,28.0,21.0,8.0,25.0,113.0,FEB,2021
Žužemberk,12.0,7.0,17.0,21.0,20.0,52.0,129.0,FEB,2021
Občina izven RS,127.0,176.0,289.0,208.0,83.0,111.0,994.0,FEB,2021
Ajdovščina,39.0,59.0,103.0,122.0,62.0,185.0,570.0,MAR,2021
Ankaran,5.0,16.0,42.0,23.0,9.0,30.0,125.0,MAR,2021
Apače,16.0,14.0,34.0,31.0,16.0,52.0,163.0,MAR,2021
Beltinci,41.0,54.0,58.0,60.0,47.0,108.0,368.0,MAR,2021
Benedikt,13.0,8.0,18.0,10.0,7.0,14.0,70.0,MAR,2021
Bistrica ob Sotli,8.0,3.0,18.0,19.0,10.0,11.0,69.0,MAR,2021
Bled,21.0,32.0,62.0,58.0,29.0,59.0,261.0,MAR,2021
Bloke,7.0,7.0,7.0,6.0,3.0,16.0,46.0,MAR,2021
Bohinj,12.0,23.0,26.0,28.0,13.0,44.0,146.0,MAR,2021
Borovnica,12.0,16.0,45.0,35.0,9.0,46.0,163.0,MAR,2021
Bovec,9.0,8.0,25.0,18.0,9.0,28.0,97.0,MAR,2021
Braslovče,15.0,30.0,32.0,29.0,15.0,59.0,180.0,MAR,2021
Brda,10.0,14.0,47.0,28.0,5.0,30.0,134.0,MAR,2021
Brezovica,34.0,42.0,94.0,92.0,54.0,108.0,424.0,MAR,2021
Brežice,117.0,106.0,206.0,221.0,122.0,370.0,1142.0,MAR,2021
Cankova,20.0,10.0,19.0,16.0,17.0,26.0,108.0,MAR,2021
Celje,197.0,273.0,584.0,530.0,217.0,575.0,2376.0,MAR,2021
Cerklje na Gorenjskem,19.0,22.0,50.0,35.0,22.0,45.0,193.0,MAR,2021
Cerknica,24.0,27.0,78.0,49.0,30.0,94.0,302.0,MAR,2021
Cerkno,4.0,9.0,15.0,21.0,8.0,12.0,69.0,MAR,2021
Cerkvenjak,8.0,11.0,9.0,7.0,6.0,9.0,50.0,MAR,2021
Cirkulane,12.0,11.0,17.0,15.0,17.0,36.0,108.0,MAR,2021
Črenšovci,44.0,40.0,37.0,38.0,21.0,64.0,244.0,MAR,2021
